Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2025;Jan 2, 2025;45,690.25;17,953.50;38,142.75;374,339.25;23,370.50;924.75;-;0.00;6,235.50;26,614.75;101.25;5,826.00
Jan 2, 2025;Jan 3, 2025;48,905.75;19,064.75;102,003.75;201,708.25;10,610.25;917.00;-;0.00;7,938.25;52,250.50;5,091.75;6,118.25
Jan 3, 2025;Jan 4, 2025;48,348.75;18,561.50;69,513.25;260,667.50;7,608.25;955.75;-;0.00;8,758.75;62,553.25;2,889.50;6,090.00
Jan 4, 2025;Jan 5, 2025;50,610.50;19,699.00;33,398.75;107,727.25;7,992.25;977.00;-;0.00;24,054.50;62,394.25;5,747.50;4,723.00
Jan 5, 2025;Jan 6, 2025;48,647.75;18,861.00;90,736.75;211,298.75;1,964.25;932.50;-;0.00;8,316.25;37,341.00;1,576.75;4,711.00
Jan 6, 2025;Jan 7, 2025;46,468.00;20,447.75;93,497.25;405,379.00;15,347.00;922.25;-;0.00;7,122.50;29,253.75;2,893.75;4,707.00
Jan 7, 2025;Jan 8, 2025;47,347.50;21,510.75;67,205.25;384,429.75;13,951.25;923.50;-;0.00;7,089.25;46,446.25;5,394.75;4,140.00
Jan 8, 2025;Jan 9, 2025;48,025.00;21,656.25;63,112.00;277,159.75;10,800.75;941.75;-;0.00;16,928.25;89,720.75;3,492.50;6,453.00
Jan 9, 2025;Jan 10, 2025;48,881.25;25,504.50;43,738.00;129,704.00;14,674.25;912.75;-;0.00;32,112.50;72,274.00;5,109.50;7,151.00
Jan 10, 2025;Jan 11, 2025;49,215.25;22,664.50;69,864.25;199,106.50;13,744.25;952.50;-;0.00;27,762.00;64,725.25;4,721.25;6,609.75
Jan 11, 2025;Jan 12, 2025;48,176.25;19,544.50;33,563.00;192,047.25;22,035.00;961.75;-;0.00;30,775.25;79,931.00;940.00;6,338.75
Jan 12, 2025;Jan 13, 2025;48,975.00;19,290.00;10,735.25;98,319.50;30,642.75;958.75;-;0.00;30,420.50;67,130.00;3,049.25;5,460.00
Jan 13, 2025;Jan 14, 2025;49,305.50;21,871.75;87,247.00;100,762.75;32,676.00;935.50;-;0.00;23,904.75;90,704.00;5,470.00;5,295.25
Jan 14, 2025;Jan 15, 2025;49,989.50;23,970.75;105,361.50;217,071.00;23,624.25;971.25;-;0.00;21,802.25;111,896.75;5,312.00;8,106.00
Jan 15, 2025;Jan 16, 2025;50,645.50;27,808.00;18,621.75;58,093.50;7,644.50;946.75;-;0.00;34,273.25;135,854.25;5,957.50;4,583.25
Jan 16, 2025;Jan 17, 2025;49,585.75;26,134.50;65,707.25;55,971.00;21,401.25;948.50;-;0.00;26,243.50;118,001.50;5,481.50;4,639.25
Jan 17, 2025;Jan 18, 2025;50,235.50;29,183.75;63,924.75;31,362.25;12,211.25;966.25;-;0.00;27,957.50;112,856.00;5,961.00;4,978.00
Jan 18, 2025;Jan 19, 2025;49,769.00;25,183.75;10,686.50;29,484.00;33,109.25;968.50;-;0.00;20,556.75;105,918.25;2,783.75;5,102.25
Jan 19, 2025;Jan 20, 2025;48,733.00;23,348.75;4,481.25;54,343.00;47,666.75;887.25;-;0.00;27,705.25;76,366.75;1,366.50;5,077.00
Jan 20, 2025;Jan 21, 2025;50,878.50;29,089.50;20,771.75;20,995.75;31,686.25;941.25;-;0.00;37,961.75;107,314.25;7,264.00;1,615.50
Jan 21, 2025;Jan 22, 2025;50,581.75;28,511.00;92,077.50;39,773.00;27,434.50;962.25;-;0.00;31,052.75;118,485.50;5,615.00;5,079.25
Jan 22, 2025;Jan 23, 2025;50,340.50;25,410.00;22,423.75;107,361.75;28,369.00;947.75;-;0.00;39,282.00;113,373.75;4,072.00;4,860.50
Jan 23, 2025;Jan 24, 2025;49,942.00;20,617.25;71,182.00;260,860.25;12,764.25;933.50;-;0.00;26,217.75;86,383.25;1,999.50;5,629.00
Jan 24, 2025;Jan 25, 2025;49,054.75;19,254.00;95,197.25;353,419.75;25,387.25;925.50;-;0.00;18,713.75;54,451.75;2,336.75;4,659.50
Jan 25, 2025;Jan 26, 2025;50,296.75;17,851.50;86,253.00;161,017.25;21,009.00;843.75;-;0.00;17,858.00;42,021.75;5,803.75;5,256.00
Jan 26, 2025;Jan 27, 2025;49,381.75;16,861.50;51,739.50;108,448.50;16,756.00;918.00;-;0.00;15,159.75;34,726.50;1,304.50;5,161.00
Jan 27, 2025;Jan 28, 2025;48,272.00;17,796.25;107,149.00;329,404.25;20,270.25;917.00;-;0.00;12,482.50;29,736.25;3,326.75;5,087.00
Jan 28, 2025;Jan 29, 2025;49,448.75;21,207.50;117,438.75;202,951.25;16,037.25;922.25;-;0.00;17,770.50;49,676.00;5,183.50;4,954.00
Jan 29, 2025;Jan 30, 2025;48,644.25;22,684.75;83,684.75;265,840.50;24,792.75;924.75;-;0.00;23,223.00;55,146.75;4,107.25;6,684.25
Jan 30, 2025;Jan 31, 2025;49,434.50;21,958.50;75,438.00;125,498.25;30,162.50;946.25;-;0.00;34,917.75;85,896.25;5,020.25;3,598.75
Jan 31, 2025;Feb 1, 2025;49,530.50;22,134.25;50,045.50;138,685.75;33,778.25;939.75;-;0.00;33,315.25;76,621.50;4,669.50;3,756.25
Feb 1, 2025;Feb 2, 2025;49,176.75;22,033.00;2,742.25;28,161.25;54,629.50;956.25;-;0.00;36,014.25;64,340.50;3,537.75;3,493.00
Feb 2, 2025;Feb 3, 2025;48,847.25;21,194.25;15,774.00;17,912.75;53,933.75;962.25;-;0.00;35,484.25;61,010.00;3,165.75;3,682.00
Feb 3, 2025;Feb 4, 2025;50,098.00;23,728.25;32,554.25;20,957.00;35,772.50;841.75;-;0.00;35,385.50;109,756.50;6,499.75;4,838.25
Feb 4, 2025;Feb 5, 2025;50,010.75;24,329.50;110,362.25;93,774.25;23,802.00;886.50;-;0.00;23,846.50;100,779.75;4,673.50;3,675.75
Feb 5, 2025;Feb 6, 2025;50,331.00;24,293.50;64,955.25;110,673.00;25,185.00;961.50;-;0.00;29,398.50;109,697.75;4,192.00;3,664.00
Feb 6, 2025;Feb 7, 2025;50,273.75;23,303.25;43,831.75;73,002.25;20,974.00;942.75;-;0.00;37,542.25;109,487.25;4,428.75;3,165.25
Feb 7, 2025;Feb 8, 2025;48,852.25;20,034.00;123,022.75;296,474.50;31,205.50;950.00;-;0.00;13,295.50;50,374.50;2,790.25;4,680.00
Feb 8, 2025;Feb 9, 2025;49,523.75;20,028.75;101,574.00;187,544.25;62,483.50;949.75;-;0.00;12,798.00;51,130.50;2,622.75;4,657.00
Feb 9, 2025;Feb 10, 2025;49,774.50;18,717.25;89,720.75;124,873.00;44,820.75;957.00;-;0.00;16,612.75;74,762.25;1,990.25;4,656.00
Feb 10, 2025;Feb 11, 2025;49,819.75;18,810.25;103,396.25;256,204.00;34,284.50;946.50;-;0.00;19,345.50;60,295.50;3,444.00;4,600.00
Feb 11, 2025;Feb 12, 2025;49,079.50;23,551.00;74,565.75;262,186.00;22,213.25;942.75;-;0.00;25,328.25;94,792.25;5,553.50;4,377.00
Feb 12, 2025;Feb 13, 2025;50,062.75;22,772.00;122,564.00;165,006.25;17,864.25;919.75;-;0.00;18,971.75;90,597.00;3,889.25;3,087.00
Feb 13, 2025;Feb 14, 2025;51,182.00;28,013.25;51,010.50;68,029.50;11,756.50;934.25;-;0.00;32,270.50;105,798.25;5,488.25;3,072.00
Feb 14, 2025;Feb 15, 2025;50,996.50;27,893.25;5,391.50;24,869.75;12,316.50;968.50;-;0.00;35,327.75;120,739.50;6,050.25;3,264.00
Feb 15, 2025;Feb 16, 2025;50,395.25;22,494.25;11,621.25;8,507.50;25,071.75;974.00;-;0.00;36,585.75;74,223.25;3,216.50;6,165.50
Feb 16, 2025;Feb 17, 2025;49,476.50;18,868.50;46,404.75;85,133.00;40,193.75;974.50;-;0.00;33,249.25;63,631.00;1,804.50;6,752.25
Feb 17, 2025;Feb 18, 2025;50,952.00;20,520.50;6,078.50;35,739.25;77,316.00;979.00;-;0.00;32,437.50;103,595.75;5,788.25;6,773.75
Feb 18, 2025;Feb 19, 2025;50,004.00;20,105.50;43,490.50;81,237.00;85,730.50;956.75;-;0.00;29,132.75;91,282.75;3,935.50;3,413.00
Feb 19, 2025;Feb 20, 2025;49,903.00;18,736.00;130,856.25;247,397.00;90,820.50;959.50;-;0.00;17,073.75;50,040.75;3,021.00;4,363.25
Feb 20, 2025;Feb 21, 2025;50,454.00;18,163.75;122,902.75;185,140.75;44,765.00;929.75;-;0.00;14,421.50;48,407.25;4,834.50;3,552.00
Feb 21, 2025;Feb 22, 2025;49,819.75;17,220.25;122,708.50;191,830.25;66,184.50;920.75;-;0.00;7,723.00;36,626.50;3,251.75;3,552.00
Feb 22, 2025;Feb 23, 2025;49,363.00;17,229.75;99,958.50;182,160.25;57,794.50;887.00;-;0.00;7,248.75;23,140.25;4,630.25;3,889.00
Feb 23, 2025;Feb 24, 2025;48,763.75;16,163.25;91,801.50;127,222.00;49,132.75;877.00;-;0.00;7,654.50;22,974.50;3,872.50;3,336.00
Feb 24, 2025;Feb 25, 2025;47,884.25;16,094.25;118,059.00;279,140.00;44,012.25;908.75;-;0.00;7,430.75;26,287.25;4,851.50;3,721.75
Feb 25, 2025;Feb 26, 2025;49,617.00;18,590.25;39,151.50;54,075.50;47,054.00;882.50;-;0.00;22,417.75;86,666.50;5,677.50;6,503.50
Feb 26, 2025;Feb 27, 2025;49,259.75;18,156.25;17,323.25;52,940.50;21,927.75;854.00;-;0.00;25,445.50;94,492.75;4,383.00;3,580.00
Feb 27, 2025;Feb 28, 2025;48,936.00;18,323.50;37,798.00;77,417.00;39,102.75;893.75;-;0.00;23,045.00;92,710.25;3,031.75;4,476.00
Feb 28, 2025;Mar 1, 2025;48,664.25;17,651.75;29,234.50;40,807.00;33,745.25;902.50;-;0.00;21,846.00;105,803.25;3,745.25;4,789.00
Mar 1, 2025;Mar 2, 2025;49,194.25;17,548.75;12,937.75;26,492.75;46,460.75;876.00;-;0.00;21,424.00;56,803.50;4,295.00;4,866.00
Mar 2, 2025;Mar 3, 2025;48,075.75;17,808.00;54,375.50;78,934.00;86,896.75;869.75;-;0.00;17,907.00;43,815.00;3,862.25;4,632.00
Mar 3, 2025;Mar 4, 2025;48,957.75;16,724.75;85,479.75;123,849.25;98,700.50;866.25;-;0.00;12,484.75;59,106.75;5,386.50;4,849.00
Mar 4, 2025;Mar 5, 2025;48,906.00;16,457.00;81,891.50;117,628.75;92,379.00;868.00;-;0.00;11,323.00;67,349.25;4,501.50;3,922.00
Mar 5, 2025;Mar 6, 2025;48,310.00;15,942.00;108,275.75;192,218.75;100,744.25;872.75;-;0.00;8,553.75;50,426.75;3,273.00;3,732.00
Mar 6, 2025;Mar 7, 2025;48,806.25;17,729.75;66,080.25;99,710.25;105,091.25;865.50;-;0.00;12,724.75;51,505.25;6,197.75;3,771.00
Mar 7, 2025;Mar 8, 2025;49,054.00;17,052.00;35,529.25;58,296.50;104,322.00;870.00;-;0.00;13,361.50;56,294.50;5,733.00;4,932.75
Mar 8, 2025;Mar 9, 2025;47,791.50;15,580.50;36,605.00;73,150.25;102,102.75;869.75;-;0.00;11,173.25;49,841.75;2,423.75;5,528.00
Mar 9, 2025;Mar 10, 2025;47,681.50;14,853.00;44,443.50;68,241.00;100,428.75;815.50;-;0.00;9,979.50;34,789.00;2,696.50;5,339.75
Mar 10, 2025;Mar 11, 2025;48,416.00;13,764.25;18,656.25;27,779.75;72,363.75;858.75;-;0.00;19,725.75;66,927.75;4,575.50;5,725.75
Mar 11, 2025;Mar 12, 2025;48,248.25;14,871.75;37,237.50;36,535.25;63,313.25;871.00;-;0.00;23,473.00;78,254.75;5,866.50;4,804.00
Mar 12, 2025;Mar 13, 2025;48,716.25;15,705.25;22,220.00;49,957.75;41,582.75;875.25;-;0.00;23,027.00;74,454.00;5,095.50;4,793.00
Mar 13, 2025;Mar 14, 2025;49,265.75;16,478.00;54,722.25;38,601.50;41,471.50;854.75;-;0.00;23,404.25;75,147.25;4,228.00;4,312.00
Mar 14, 2025;Mar 15, 2025;49,628.50;17,291.25;45,565.00;52,918.50;41,703.75;867.75;-;0.00;22,987.25;60,676.00;3,821.50;6,030.25
Mar 15, 2025;Mar 16, 2025;48,599.25;15,851.75;16,800.25;103,115.75;58,640.25;887.25;-;0.00;7,933.00;25,949.25;3,930.25;5,707.75
Mar 16, 2025;Mar 17, 2025;48,093.00;15,243.50;44,959.25;103,144.25;86,373.50;948.00;-;0.00;7,832.50;26,975.50;3,281.75;4,037.00
Mar 17, 2025;Mar 18, 2025;48,537.50;15,084.50;46,351.50;115,097.00;100,087.25;944.75;-;0.00;10,341.50;37,746.50;4,867.00;3,993.50
Mar 18, 2025;Mar 19, 2025;48,717.25;15,775.50;5,578.50;57,372.25;125,485.00;945.25;-;0.00;9,217.25;44,458.00;4,667.25;4,342.50
Mar 19, 2025;Mar 20, 2025;49,100.75;16,385.50;7,601.00;37,347.25;125,198.25;932.75;-;0.00;8,808.25;61,486.75;5,202.50;4,502.00
Mar 20, 2025;Mar 21, 2025;48,764.50;16,287.50;12,078.75;39,553.50;118,684.25;840.00;-;0.00;8,130.50;66,569.75;4,724.25;4,536.50
Mar 21, 2025;Mar 22, 2025;47,524.75;15,169.75;54,857.00;157,009.75;115,159.75;838.00;-;0.00;6,118.00;36,538.00;4,726.50;4,683.25
Mar 22, 2025;Mar 23, 2025;45,773.50;14,610.25;44,392.00;302,282.00;94,653.00;883.50;-;0.00;3,628.00;14,206.25;552.00;4,364.00
Mar 23, 2025;Mar 24, 2025;47,582.50;14,735.75;72,850.50;138,666.25;70,485.00;903.50;-;0.00;8,143.75;30,052.50;5,278.50;4,978.00
Mar 24, 2025;Mar 25, 2025;48,622.25;15,267.25;6,726.25;23,918.00;61,209.50;925.50;-;0.00;21,917.50;77,659.50;6,499.50;5,570.00
Mar 25, 2025;Mar 26, 2025;47,905.25;15,865.25;61,984.75;98,357.75;75,963.25;926.75;-;0.00;16,493.50;52,785.75;3,219.50;5,617.00
Mar 26, 2025;Mar 27, 2025;48,297.50;16,836.50;45,186.25;114,769.75;48,632.50;934.50;-;0.00;16,058.25;41,752.50;3,870.00;4,580.00
Mar 27, 2025;Mar 28, 2025;47,667.50;15,928.50;85,872.25;59,672.50;94,431.75;948.50;-;0.00;10,368.00;35,896.25;4,613.00;2,478.75
Mar 28, 2025;Mar 29, 2025;47,588.00;16,616.50;65,435.00;76,271.25;125,294.50;939.25;-;0.00;11,220.75;36,246.50;4,895.75;2,832.00
Mar 29, 2025;Mar 30, 2025;47,358.25;16,339.50;31,324.75;88,739.25;74,530.50;938.00;-;0.00;10,374.00;23,935.25;3,682.00;2,404.00
Mar 30, 2025;Mar 31, 2025;43,047.25;18,511.50;63,310.75;320,438.00;59,357.50;830.75;-;0.00;2,093.00;11,182.00;610.75;1,370.00
Mar 31, 2025;Apr 1, 2025;48,297.00;20,282.00;51,703.25;155,137.75;62,060.00;920.50;-;0.00;9,528.75;40,269.75;4,491.00;2,312.00
Apr 1, 2025;Apr 2, 2025;47,926.00;20,438.00;16,935.00;96,489.50;103,865.00;899.25;-;0.00;14,206.50;44,641.25;3,954.75;2,710.00
Apr 2, 2025;Apr 3, 2025;46,910.75;19,412.00;65,280.75;177,308.50;112,809.00;873.75;-;0.00;7,981.75;21,225.25;4,148.50;2,704.00
Apr 3, 2025;Apr 4, 2025;47,104.50;20,212.75;45,899.50;105,593.75;138,321.75;848.75;-;0.00;5,090.00;35,995.00;5,177.00;2,728.00
Apr 4, 2025;Apr 5, 2025;47,079.25;19,518.25;26,197.75;48,162.25;138,583.75;909.00;-;0.00;4,572.00;43,196.00;5,573.75;4,078.25
Apr 5, 2025;Apr 6, 2025;45,540.50;18,315.75;51,709.50;139,195.25;117,688.50;892.25;-;0.00;3,633.75;13,453.75;5,359.25;3,969.00
Apr 6, 2025;Apr 7, 2025;45,070.25;18,175.50;22,804.25;68,054.50;136,589.75;974.25;-;0.00;3,796.75;19,625.75;3,641.50;3,890.00
Apr 7, 2025;Apr 8, 2025;46,411.25;17,802.00;8,582.00;48,152.75;139,346.25;967.75;-;0.00;16,014.75;36,466.25;4,697.50;4,094.00
Apr 8, 2025;Apr 9, 2025;46,732.50;19,077.25;1,602.75;18,211.25;130,935.25;946.25;-;0.00;19,096.25;37,629.00;5,604.00;4,076.25
Apr 9, 2025;Apr 10, 2025;46,749.75;17,040.25;49,701.50;66,801.00;96,252.25;944.75;-;0.00;16,989.50;27,681.75;3,714.00;4,774.00
Apr 10, 2025;Apr 11, 2025;47,029.25;17,112.00;45,926.25;90,460.50;108,460.75;877.00;-;0.00;14,099.00;31,964.00;5,724.25;6,720.25
Apr 11, 2025;Apr 12, 2025;46,738.00;17,464.50;31,606.75;172,381.00;133,123.50;863.25;-;0.00;7,191.50;26,026.75;5,870.25;4,315.75
Apr 12, 2025;Apr 13, 2025;46,012.00;16,476.50;33,887.75;53,129.25;139,545.50;865.00;-;0.00;4,346.25;25,630.25;5,340.25;6,813.25
Apr 13, 2025;Apr 14, 2025;45,354.75;15,650.75;77,126.50;196,192.50;71,115.25;833.50;-;0.00;7,441.00;21,792.50;2,147.75;4,681.75
Apr 14, 2025;Apr 15, 2025;47,252.50;17,207.50;30,572.25;60,897.75;112,891.50;813.00;-;0.00;16,649.00;30,391.00;4,618.75;4,504.00
Apr 15, 2025;Apr 16, 2025;45,861.25;17,478.25;75,556.00;194,083.50;114,428.75;817.75;-;0.00;2,666.00;24,967.50;5,012.00;5,371.00
Apr 16, 2025;Apr 17, 2025;45,686.50;18,055.50;22,976.00;74,213.75;106,995.00;745.00;-;0.00;14,834.50;23,971.00;4,437.50;6,291.00
Apr 17, 2025;Apr 18, 2025;46,978.50;21,318.75;20,013.25;165,698.25;67,417.25;867.50;-;0.00;17,890.00;29,499.50;5,471.50;6,228.25
Apr 18, 2025;Apr 19, 2025;46,542.00;21,077.75;28,516.50;113,323.25;30,212.75;911.25;-;0.00;19,694.25;24,015.00;2,294.75;5,032.00
Apr 19, 2025;Apr 20, 2025;45,888.25;20,027.50;34,412.25;34,110.25;109,133.75;881.00;-;0.00;10,441.25;20,475.25;3,870.75;4,464.00
Apr 20, 2025;Apr 21, 2025;45,228.25;18,278.75;20,169.25;44,126.75;110,730.50;840.75;-;0.00;11,472.25;17,109.25;3,855.25;4,296.00
Apr 21, 2025;Apr 22, 2025;44,728.25;17,495.25;2,609.75;18,218.50;94,819.50;806.50;-;0.00;19,007.25;22,867.00;4,622.25;4,344.00
Apr 22, 2025;Apr 23, 2025;45,322.25;18,846.25;3,528.00;26,757.25;95,925.50;809.50;-;0.00;19,548.50;34,322.50;5,118.25;4,370.75
Apr 23, 2025;Apr 24, 2025;45,333.25;18,376.50;24,733.75;35,437.00;110,443.50;841.50;-;0.00;19,817.25;32,647.25;3,201.25;5,994.50
Apr 24, 2025;Apr 25, 2025;46,083.75;20,644.25;42,939.50;76,995.50;62,600.75;899.75;-;0.00;20,854.75;21,244.75;3,099.25;5,481.75
Apr 25, 2025;Apr 26, 2025;46,159.25;21,228.50;5,829.50;34,624.25;63,063.75;914.25;-;0.00;17,031.00;22,613.25;4,593.75;5,276.00
Apr 26, 2025;Apr 27, 2025;45,167.50;20,111.00;9,401.50;88,858.50;133,244.50;867.25;-;0.00;2,939.75;17,347.00;4,161.25;5,115.75
Apr 27, 2025;Apr 28, 2025;44,321.50;17,793.75;29,651.75;72,585.25;141,332.50;866.00;-;0.00;4,118.00;15,404.75;4,093.75;4,943.25
Apr 28, 2025;Apr 29, 2025;45,574.25;18,529.25;9,249.75;19,901.50;153,740.75;789.00;-;0.00;4,269.75;20,800.25;4,764.75;5,435.75
